1682428187.751361 server started (55421): version 3.3a, socket /private/tmp/tmux-503/default, protocol 8
1682428187.751411 on Darwin 21.6.0 Darwin Kernel Version 21.6.0: Mon Dec 19 20:44:01 PST 2022; root:xnu-8020.240.18~2/RELEASE_X86_64
1682428187.751433 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1682428187.751524 input_key_build: 0x10e003 (PasteStart) is \033[200~
1682428187.751540 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1682428187.751553 input_key_build: 0x10e195 (F1) is \033OP
1682428187.751563 input_key_build: 0x10e196 (F2) is \033OQ
1682428187.751572 input_key_build: 0x10e197 (F3) is \033OR
1682428187.751586 input_key_build: 0x10e198 (F4) is \033OS
1682428187.751595 input_key_build: 0x10e199 (F5) is \033[15~
1682428187.751604 input_key_build: 0x10e19a (F6) is \033[17~
1682428187.751614 input_key_build: 0x10e19b (F7) is \033[18~
1682428187.751626 input_key_build: 0x10e19c (F8) is \033[19~
1682428187.751635 input_key_build: 0x10e19d (F9) is \033[20~
1682428187.751645 input_key_build: 0x10e19e (F10) is \033[21~
1682428187.751657 input_key_build: 0x10e19f (F11) is \033[23~
1682428187.751669 input_key_build: 0x10e1a0 (F12) is \033[24~
1682428187.751679 input_key_build: 0x10e1a1 (IC) is \033[2~
1682428187.751688 input_key_build: 0x10e1a2 (DC) is \033[3~
1682428187.751697 input_key_build: 0x10e1a3 (Home) is \033[1~
1682428187.751706 input_key_build: 0x10e1a4 (End) is \033[4~
1682428187.751715 input_key_build: 0x10e1a5 (NPage) is \033[6~
1682428187.751724 input_key_build: 0x10e1a6 (PPage) is \033[5~
1682428187.751735 input_key_build: 0x10e1a7 (BTab) is \033[Z
1682428187.751744 input_key_build: 0x10e1a8 (Up) is \033[A
1682428187.751759 input_key_build: 0x10e1a9 (Down) is \033[B
1682428187.751769 input_key_build: 0x10e1aa (Left) is \033[D
1682428187.751778 input_key_build: 0x10e1ab (Right) is \033[C
1682428187.751789 input_key_build: 0x10e1ac (KP/) is /
1682428187.751798 input_key_build: 0x10e1ad (KP*) is *
1682428187.751808 input_key_build: 0x10e1ae (KP-) is -
1682428187.751819 input_key_build: 0x10e1af (KP7) is 7
1682428187.751828 input_key_build: 0x10e1b0 (KP8) is 8
1682428187.751837 input_key_build: 0x10e1b1 (KP9) is 9
1682428187.751848 input_key_build: 0x10e1b2 (KP+) is +
1682428187.751857 input_key_build: 0x10e1b3 (KP4) is 4
1682428187.751866 input_key_build: 0x10e1b4 (KP5) is 5
1682428187.751876 input_key_build: 0x10e1b5 (KP6) is 6
1682428187.751885 input_key_build: 0x10e1b6 (KP1) is 1
1682428187.751894 input_key_build: 0x10e1b7 (KP2) is 2
1682428187.751903 input_key_build: 0x10e1b8 (KP3) is 3
1682428187.751913 input_key_build: 0x10e1b9 (KPEnter) is \n
1682428187.751922 input_key_build: 0x10e1ba (KP0) is 0
1682428187.751931 input_key_build: 0x10e1bb (KP.) is .
1682428187.751941 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1682428187.751950 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1682428187.751959 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1682428187.751968 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1682428187.751978 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1682428187.752005 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1682428187.752020 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1682428187.752035 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1682428187.752080 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1682428187.752102 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1682428187.752117 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
